 
1	51676	47465	99141	50369	50370	99.141	50.37	51348	51349	51.349	   
2.5	52261	48488	100749	55369	55369	100.749	55.369	53179	53179	53.179	   
5	53441	48533	101974	61908	61908	101.974	61.908	52921	52921	52.921	   
7.5	54294	48445	102739	74105	74105	102.739	74.105	58658	58658	58.658	   
10	54594	48470	103064	88795	88795	103.064	88.795	68959	68959	68.959	   
15	56997	47511	104508	124175	124175	104.508	124.175	80207	80207	80.207	   
20	56643	48523	105166	166614	166614	105.166	166.614	107873	107874	107.874	   
30	59547	48823	108370	253355	253355	108.37	253.355	139772	139772	139.772	   
40	60256	48588	108844	422417	422418	108.844	422.418	181946	181947	181.947	   
50	64647	48622	113269	673887	673888	113.269	673.888	224860	224860	224.86	 
