method,column,group,n,mae,rmse,bias,actual_mean,predicted_mean,missing_rate
mean,CO(GT),all,693,2.417506716146281,2.963506071098868,-2.151858880556063,4.119480519480519,1.967621638924456,10pct
median,CO(GT),all,693,2.601010101010101,3.1631878818302233,-2.419480519480519,4.119480519480519,1.6999999999999993,10pct
mode,CO(GT),all,693,3.1541125541125545,3.725993867819739,-3.1194805194805193,4.119480519480519,1.0,10pct
mice5,CO(GT),all,693,0.4703674338711862,0.7194349835645999,-0.2953475030304648,4.119480519480519,3.8241330164500553,10pct
rebalanced_mice_general,CO(GT),all,693,0.4731052059408137,0.7289578032404676,-0.2391985932273598,4.119480519480519,3.880281926253159,10pct
rebalanced_mice_dml,CO(GT),all,693,0.49055432728954135,0.7542254641355117,-0.2723576015301486,4.119480519480519,3.8471229179503705,10pct
mean,NO2(GT),all,662,70.32894499432003,82.84515390672492,-62.4758062770016,170.39123867069486,107.91543239369322,10pct
median,NO2(GT),all,662,71.74169184290031,84.29902000268982,-64.39123867069486,170.39123867069486,106.0,10pct
mode,NO2(GT),all,662,68.8262839879154,81.28465331197728,-60.39123867069486,170.39123867069486,110.0,10pct
mice5,NO2(GT),all,662,26.076093435614563,34.76973622494151,-13.438764466162892,170.39123867069486,156.95247420453197,10pct
rebalanced_mice_general,NO2(GT),all,662,23.919391682043894,31.132647999601,-4.034705722813032,170.39123867069486,166.35653294788185,10pct
rebalanced_mice_dml,NO2(GT),all,662,24.093036597015306,31.49738843703276,-5.7603098404444655,170.39123867069486,164.63092883025038,10pct
mean,NOx(GT),all,656,415.2205582882201,487.1339865078909,-406.3499158371654,618.6173780487804,212.26746221161497,10pct
median,NOx(GT),all,656,453.6844512195122,523.7700386177684,-449.6173780487805,618.6173780487804,169.0,10pct
mode,NOx(GT),all,656,529.8064024390244,593.8634808114264,-529.6173780487804,618.6173780487804,89.0,10pct
mice5,NOx(GT),all,656,141.00324144219925,188.15770200955043,-117.31304863767753,618.6173780487804,501.30432941110297,10pct
rebalanced_mice_general,NOx(GT),all,656,107.7311556822036,149.4284139014629,-68.48400853924142,618.6173780487804,550.1333695095391,10pct
rebalanced_mice_dml,NOx(GT),all,656,109.14533850958864,151.56060722841605,-72.1677956514186,618.6173780487804,546.449582397362,10pct
