applyName,name,param_no,maskFlag,FDFlag,yFlag,verboseFlag,dataFlag,default1,default2,default3,default4,dt1,dt2,dt3,dt4,st1,en1,st2,en2,st3,en3,st4,en4
outlierByIQRApply,outlierByIQR,3,0,0,0,1,0,1.5,2,1,,FP,INT,INT,1,7,2,2,1,1,,,
outlierBySdApply,outlierBySd,3,0,0,0,1,0,3,2,1,,INT,INT,INT,1,7,1,2,2,1,,,
winsorizeApply,winsorize,2,0,0,0,1,0,0.05,0.95,,,FP,FP,0.01,0.05,0.95,1,,,,,,
normalizeApply,normalize,0,0,0,0,0,0,,,,,,,,,,,,,,,,
imputeByMeanApply,imputeByMean,0,1,0,0,0,2,,,,,,,,,,,,,,,,
imputeByMedianApply,imputeByMedian,0,1,0,0,0,2,,,,,,,,,,,,,,,,
miceApply,mice,2,1,0,0,1,2,3,0.9,,,INT,FP,1,3,0.5,1,,,,,,
,abstain,1,0,0,1,1,2,0.75,,,,FP,0.6,0.8,,,,,,,,,
,flipLabels,2,0,0,1,1,2,0.75,5,,,FP,INT,0.6,0.9,1,20,,,,,,
,SMOTE,1,1,0,1,1,2,200,,,,INT,100,500,,,,,,,,,
pca_predict,pca,3,0,0,0,0,2,10,1,0,,INT,BOOL,BOOL,100,200,0,1,0,0,,,
,ppca,4,0,0,0,1,2,5,10,0.000001,0.02,INT,INT,FP,FP,100,200,1,10,1.00E-09,1.00E-06,1.00E-02,1.00E-01
fillDefaultApply,fillDefault,0,0,0,0,0,2,,,,,,,,,,,,,,,,
dummycodingApply,dummycoding,0,1,0,0,0,2,,,,,,,,,,,,,,,,
frequencyEncodeApply,frequencyEncode,0,1,0,0,0,2,,,,,,,,,,,,,,,,
WoEApply,WoE,0,1,0,1,0,2,,,,,,,,,,,,,,,,
scaleApply,scale,2,0,0,0,0,0,1,0,,,BOOL,BOOL,0,1,0,1,,,,,,
forward_fill,forward_fill,1,0,0,0,1,2,1,,,,BOOL,0,1,,,,,,,,,
imputeByFdApply,imputeByFd,1,0,1,0,0,1,0.8,,,,FP,0.6,0.9,,,,,,,,,
,tomeklink,0,0,0,1,0,2,,,,,,,,,,,,,,,,
,underSampling,1,0,0,1,0,2,0.2,,,,FP,0.1,0.6,,,,,,,,,
