directory,backend,model,workload,n,accuracy,accuracy_mean,latency_ms_mean,throughput_rps,total_compute_cost_usd
openai_embeddings,openai,,embeddings,50,44/50,0.88,773.4,1.29,0.001894
openai_json_extraction,openai,,json_extraction,46,28/46,0.6086956521739131,1497.6,0.67,0.005592
openai_math,openai,,math,50,48/50,0.96,4576.6,0.22,0.022309
openai_reasoning,openai,,reasoning,50,44/50,0.88,1735.2,0.58,0.009984
openai_summarization,openai,,summarization,50,43/50,0.86,1130.8,0.88,0.007539
systemds_qwen3b_embeddings,systemds,,embeddings,50,45/50,0.9,60.2,15.88,0.001841
systemds_qwen3b_embeddings_reverse,systemds,,embeddings,50,45/50,0.9,59.8,16.02,0.001825
systemds_qwen3b_json_extraction,systemds,,json_extraction,50,33/50,0.66,265.9,3.75,0.007792
systemds_qwen3b_json_extraction_reverse,systemds,,json_extraction,50,33/50,0.66,277.5,3.6,0.00813
systemds_qwen3b_math,systemds,,math,50,34/50,0.68,1917.0,0.52,0.056067
systemds_qwen3b_math_reverse,systemds,,math,50,34/50,0.68,1920.7,0.52,0.056174
systemds_qwen3b_reasoning,systemds,,reasoning,50,29/50,0.58,1133.6,0.88,0.033162
systemds_qwen3b_reasoning_reverse,systemds,,reasoning,50,29/50,0.58,1117.9,0.89,0.032702
systemds_qwen3b_summarization,systemds,,summarization,50,31/50,0.62,361.8,2.76,0.010611
systemds_qwen3b_summarization_reverse,systemds,,summarization,50,25/50,0.5,383.8,2.58,0.011321
vllm_qwen3b_embeddings,vllm,,embeddings,50,45/50,0.9,46.6,21.3,0.001372
vllm_qwen3b_embeddings_reverse,vllm,,embeddings,50,45/50,0.9,43.1,23.0,0.001271
vllm_qwen3b_json_extraction,vllm,,json_extraction,50,33/50,0.66,265.9,3.76,0.007785
vllm_qwen3b_json_extraction_reverse,vllm,,json_extraction,50,33/50,0.66,263.0,3.8,0.007702
vllm_qwen3b_math,vllm,,math,50,34/50,0.68,1913.4,0.52,0.055953
vllm_qwen3b_math_reverse,vllm,,math,50,34/50,0.68,1911.1,0.52,0.055885
vllm_qwen3b_reasoning,vllm,,reasoning,50,29/50,0.58,1109.2,0.9,0.032441
vllm_qwen3b_reasoning_reverse,vllm,,reasoning,50,29/50,0.58,1129.0,0.89,0.033022
vllm_qwen3b_summarization,vllm,,summarization,50,25/50,0.5,364.0,2.74,0.010652
vllm_qwen3b_summarization_reverse,vllm,,summarization,50,31/50,0.62,354.9,2.81,0.010389
